time,stock,atm_diff,avg_ltp_pct_x1000
08:27,360ONE,0.0,0.0
08:27,ABB,0.0,0.0
08:27,ABCAPITAL,0.0,0.0
08:27,ADANIENSOL,0.0,0.0
08:27,ADANIENT,0.0,0.0
08:27,ADANIGREEN,0.0,0.0
08:27,ADANIPORTS,0.0,0.0
08:27,ALKEM,0.0,0.0
08:27,AMBER,0.0,0.0
08:27,AMBUJACEM,0.0,0.0
08:27,ANGELONE,0.0,0.0
08:27,APLAPOLLO,0.0,0.0
08:27,APOLLOHOSP,0.0,0.0
08:27,ASHOKLEY,0.0,0.0
08:27,ASIANPAINT,0.0,0.0
08:27,ASTRAL,0.0,0.0
08:27,AUBANK,0.0,0.0
08:27,AUROPHARMA,0.0,0.0
08:27,AXISBANK,0.0,0.0
08:27,BAJAJ-AUTO,0.0,0.0
08:27,BAJAJFINSV,0.0,0.0
08:27,BAJAJHLDNG,0.0,0.0
08:27,BAJFINANCE,0.0,0.0
08:27,BANDHANBNK,0.0,0.0
08:27,BANKBARODA,0.0,0.0
08:27,BANKINDIA,0.0,0.0
08:27,BDL,0.0,0.0
08:27,BEL,0.0,0.0
08:27,BHARATFORG,0.0,0.0
08:27,BHARTIARTL,0.0,0.0
08:27,BHEL,0.0,0.0
08:27,BIOCON,0.0,0.0
08:27,BLUESTARCO,0.0,0.0
08:27,BOSCHLTD,0.0,0.0
08:27,BPCL,0.0,0.0
08:27,BRITANNIA,0.0,0.0
08:27,BSE,0.0,0.0
08:27,CAMS,0.0,0.0
08:27,CANBK,0.0,0.0
08:27,CDSL,0.0,0.0
08:27,CGPOWER,0.0,0.0
08:27,CHOLAFIN,0.0,0.0
08:27,CIPLA,0.0,0.0
08:27,COALINDIA,0.0,0.0
08:27,COFORGE,0.0,0.0
08:27,COLPAL,0.0,0.0
08:27,CONCOR,0.0,0.0
08:27,CROMPTON,0.0,0.0
08:27,CUMMINSIND,0.0,0.0
08:27,DABUR,0.0,0.0
08:27,DALBHARAT,0.0,0.0
08:27,DELHIVERY,0.0,0.0
08:27,DIVISLAB,0.0,0.0
08:27,DIXON,0.0,0.0
08:27,DLF,0.0,0.0
08:27,DMART,0.0,0.0
08:27,DRREDDY,0.0,0.0
08:27,EICHERMOT,0.0,0.0
08:27,ETERNAL,0.0,0.0
08:27,EXIDEIND,0.0,0.0
08:27,FEDERALBNK,0.0,0.0
08:27,FORTIS,0.0,0.0
08:27,GAIL,0.0,0.0
08:27,GLENMARK,0.0,0.0
08:27,GMRAIRPORT,0.0,0.0
08:27,GODREJCP,0.0,0.0
08:27,GODREJPROP,0.0,0.0
08:27,GRASIM,0.0,0.0
08:27,HAL,0.0,0.0
08:27,HAVELLS,0.0,0.0
08:27,HCLTECH,0.0,0.0
08:27,HDFCAMC,0.0,0.0
08:27,HDFCBANK,0.0,0.0
08:27,HDFCLIFE,0.0,0.0
08:27,HEROMOTOCO,0.0,0.0
08:27,HINDALCO,0.0,0.0
08:27,HINDPETRO,0.0,0.0
08:27,HINDUNILVR,0.0,0.0
08:27,HINDZINC,0.0,0.0
08:27,HUDCO,0.0,0.0
08:27,ICICIBANK,0.0,0.0
08:27,ICICIGI,0.0,0.0
08:27,ICICIPRULI,0.0,0.0
08:27,IDEA,0.0,0.0
08:27,IDFCFIRSTB,0.0,0.0
08:27,IEX,0.0,0.0
08:27,INDHOTEL,0.0,0.0
08:27,INDIANB,0.0,0.0
08:27,INDIGO,0.0,0.0
08:27,INDUSINDBK,0.0,0.0
08:27,INDUSTOWER,0.0,0.0
08:27,INFY,0.0,0.0
08:27,INOXWIND,0.0,0.0
08:27,IOC,0.0,0.0
08:27,IRCTC,0.0,0.0
08:27,IREDA,0.0,0.0
08:27,IRFC,0.0,0.0
08:27,ITC,0.0,0.0
08:27,JINDALSTEL,0.0,0.0
08:27,JIOFIN,0.0,0.0
08:27,JSWENERGY,0.0,0.0
08:27,JSWSTEEL,0.0,0.0
08:27,JUBLFOOD,0.0,0.0
08:27,KALYANKJIL,0.0,0.0
08:27,KAYNES,0.0,0.0
08:27,KEI,0.0,0.0
08:27,KFINTECH,0.0,0.0
08:27,KOTAKBANK,0.0,0.0
08:27,KPITTECH,0.0,0.0
08:27,LAURUSLABS,0.0,0.0
